ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2011-01-01,2390.53349214,-1251.0173397323645,1171.147522015246,2390.53349214,2390.53349214,-2415.8032674414735,-2415.8032674414735,-2415.8032674414735,61.52038644060698,61.52038644060698,61.52038644060698,-2477.323653882081,-2477.323653882081,-2477.323653882081,0.0,0.0,0.0,-25.2697753014736
2011-01-02,2395.696107289123,-1501.7539925332762,897.2239124415264,2395.696107289123,2395.696107289123,-2675.859597554556,-2675.859597554556,-2675.859597554556,-265.4047198585592,-265.4047198585592,-265.4047198585592,-2410.4548776959964,-2410.4548776959964,-2410.4548776959964,0.0,0.0,0.0,-280.16349026543276
2011-01-03,2400.8587224382463,-1259.5264676323015,1231.1802943840962,2400.8587224382463,2400.8587224382463,-2486.691352039188,-2486.691352039188,-2486.691352039188,-151.39535679903727,-151.39535679903727,-151.39535679903727,-2335.295995240151,-2335.295995240151,-2335.295995240151,0.0,0.0,0.0,-85.8326296009418
2011-01-04,2406.0213375873695,-1023.6053299889752,1447.5572428662713,2406.0213375873695,2406.0213375873695,-2241.569058255793,-2241.569058255793,-2241.569058255793,11.704112916502568,11.704112916502568,11.704112916502568,-2253.2731711722954,-2253.2731711722954,-2253.2731711722954,0.0,0.0,0.0,164.4522793315764
2011-01-05,2411.183952736493,-882.6660210388939,1459.8014900626235,2411.183952736493,2411.183952736493,-2132.7628991619613,-2132.7628991619613,-2132.7628991619613,33.13835433049216,33.13835433049216,33.13835433049216,-2165.901253492453,-2165.901253492453,-2165.901253492453,0.0,0.0,0.0,278.4210535745319
2011-01-06,2416.3465678856164,-685.1355984910758,1664.063227032353,2416.3465678856164,2416.3465678856164,-1926.4920045321946,-1926.4920045321946,-1926.4920045321946,148.2561696826631,148.2561696826631,148.2561696826631,-2074.748174214858,-2074.748174214858,-2074.748174214858,0.0,0.0,0.0,489.8545633534218
2011-01-07,2421.5091830347396,-536.4810153790347,1900.7229916225158,2421.5091830347396,2421.5091830347396,-1819.2178525280083,-1819.2178525280083,-1819.2178525280083,162.18105328764966,162.18105328764966,162.18105328764966,-1981.3989058156578,-1981.3989058156578,-1981.3989058156578,0.0,0.0,0.0,602.2913305067314
2011-01-08,2426.671798183863,-571.343716903447,1736.7041228822197,2426.671798183863,2426.671798183863,-1825.8995045172737,-1825.8995045172737,-1825.8995045172737,61.52038644104091,61.52038644104091,61.52038644104091,-1887.419890958315,-1887.419890958315,-1887.419890958315,0.0,0.0,0.0,600.7722936665891
2011-01-09,2431.834413332986,-872.153786215498,1631.615724229334,2431.834413332986,2431.834413332986,-2059.7295545280354,-2059.7295545280354,-2059.7295545280354,-265.404719858544,-265.404719858544,-265.404719858544,-1794.324834669491,-1794.324834669491,-1794.324834669491,0.0,0.0,0.0,372.1048588049507
2011-01-10,2436.9970284821093,-698.7517717720118,1869.6561446128599,2436.9970284821093,2436.9970284821093,-1854.9380530793653,-1854.9380530793653,-1854.9380530793653,-151.39535679922085,-151.39535679922085,-151.39535679922085,-1703.5426962801448,-1703.5426962801448,-1703.5426962801448,0.0,0.0,0.0,582.058975402744
2011-01-11,2442.1596436312325,-298.0761411556935,2026.9389849250065,2442.1596436312325,2442.1596436312325,-1604.684531849166,-1604.684531849166,-1604.684531849166,11.704112916653319,11.704112916653319,11.704112916653319,-1616.3886447658194,-1616.3886447658194,-1616.3886447658194,0.0,0.0,0.0,837.4751117820665
2011-01-12,2447.322258780356,-325.680447938081,2131.682983443774,2447.322258780356,2447.322258780356,-1500.9002935738665,-1500.9002935738665,-1500.9002935738665,33.13835433016027,33.13835433016027,33.13835433016027,-1534.0386479040267,-1534.0386479040267,-1534.0386479040267,0.0,0.0,0.0,946.4219652064896
2011-01-13,2452.4848739294794,-88.80440813893438,2441.963220643094,2452.4848739294794,2452.4848739294794,-1309.2520860601016,-1309.2520860601016,-1309.2520860601016,148.25616968279948,148.25616968279948,148.25616968279948,-1457.5082557429014,-1457.5082557429014,-1457.5082557429014,0.0,0.0,0.0,1143.2327878693777
2011-01-14,2457.6474890786026,-40.940307826288226,2506.1249636459656,2457.6474890786026,2457.6474890786026,-1225.4549622029836,-1225.4549622029836,-1225.4549622029836,162.18105328773675,162.18105328773675,162.18105328773675,-1387.6360154907202,-1387.6360154907202,-1387.6360154907202,0.0,0.0,0.0,1232.192526875619
2011-01-15,2462.810104227726,-123.24091438134049,2467.1572807484445,2462.810104227726,2462.810104227726,-1263.5514352585192,-1263.5514352585192,-1263.5514352585192,61.520386440805794,61.520386440805794,61.520386440805794,-1325.0718216993248,-1325.0718216993248,-1325.0718216993248,0.0,0.0,0.0,1199.2586689692066
2011-01-16,2467.972719376849,-277.62699590101545,2099.8011827927326,2467.972719376849,2467.972719376849,-1535.675086215602,-1535.675086215602,-1535.675086215602,-265.40471985877195,-265.40471985877195,-265.40471985877195,-1270.27036635683,-1270.27036635683,-1270.27036635683,0.0,0.0,0.0,932.297633161247
2011-01-17,2473.135334525972,-162.99851556625515,2279.1347416293515,2473.135334525972,2473.135334525972,-1374.8850689795916,-1374.8850689795916,-1374.8850689795916,-151.39535679886868,-151.39535679886868,-151.39535679886868,-1223.4897121807228,-1223.4897121807228,-1223.4897121807228,0.0,0.0,0.0,1098.2502655463807
2011-01-18,2478.2979496750954,151.02205545639126,2578.5980541342506,2478.2979496750954,2478.2979496750954,-1173.090760084775,-1173.090760084775,-1173.090760084775,11.70411291680409,11.70411291680409,11.70411291680409,-1184.794873001579,-1184.794873001579,-1184.794873001579,0.0,0.0,0.0,1305.2071895903205
2011-01-19,2483.4605648242186,109.9809323785581,2496.397353012472,2483.4605648242186,2483.4605648242186,-1120.9277971895071,-1120.9277971895071,-1120.9277971895071,33.13835433036118,33.13835433036118,33.13835433036118,-1154.0661515198683,-1154.0661515198683,-1154.0661515198683,0.0,0.0,0.0,1362.5327676347115
2011-01-20,2488.6231799733423,240.09306450397784,2729.148286695202,2488.6231799733423,2488.6231799733423,-982.7556908793712,-982.7556908793712,-982.7556908793712,148.2561696824873,148.2561696824873,148.2561696824873,-1131.0118605618584,-1131.0118605618584,-1131.0118605618584,0.0,0.0,0.0,1505.867489093971
2011-01-21,2493.7857951224655,217.59718612659927,2739.349030740087,2493.7857951224655,2493.7857951224655,-953.0038893401169,-953.0038893401169,-953.0038893401169,162.18105328770338,162.18105328770338,162.18105328770338,-1115.1849426278202,-1115.1849426278202,-1115.1849426278202,0.0,0.0,0.0,1540.7819057823485
2011-01-22,2498.9484102715887,231.94431581722236,2743.341810969301,2498.9484102715887,2498.9484102715887,-1044.482520515827,-1044.482520515827,-1044.482520515827,61.52038644057068,61.52038644057068,61.52038644057068,-1106.0029069563977,-1106.0029069563977,-1106.0029069563977,0.0,0.0,0.0,1454.4658897557617
